City,Place,Latitude,Longitude
Boca Raton,Florida,26.3683,-80.1289
Orlando,Florida,28.5383,-81.3792
Annapolis,Maryland,38.9784,-76.4922
Sedona,Arizona,34.8697,-111.761
Mall of America,Minnesota,44.8549,-93.2422
Hilton Head,South Carolina,32.2163,-80.7526
Savannah ,Georgia,32.0809,-81.0912
Vero Beach,Florida,27.6386,-80.3973
Atlantic City,New Jersey,39.3643,-74.4229
Washington D.C.,Maryland,38.9072,-77.0369
New York,New York,40.7128,-74.006
Niagra Falls,Canada,43.0896,-79.0849
Finger Lakes,New York,42.444,-76.5019
Pittsburgh,Pennsylvania,40.4406,-79.9959
